Source,Target,Label
118,122,85176468136
118,123,85176468136
119,120,85176468136
119,121,85176468136
119,122,85176468136
119,123,85176468136
120,121,85176468136
120,122,85176468136
120,123,85176468136
121,122,85176468136
121,123,85176468136
122,123,85176468136
124,120,85171480744
124,125,85171480744
124,118,85171480744
124,126,85171480744
120,125,85171480744
120,118,85171480744
120,126,85171480744
125,118,85171480744
125,126,85171480744
118,126,85171480744
118,120,85132912978
127,118,85135049986
127,120,85135049986
118,120,85135049986
118,120,85133614838
118,128,85133614838
118,129,85133614838
120,128,85133614838
120,129,85133614838
128,129,85133614838
118,120,85089170148
118,130,85089170148
120,130,85089170148
118,127,85054891996
118,120,85054891996
118,131,85054891996
118,132,85054891996
127,120,85054891996
127,131,85054891996
127,132,85054891996
120,131,85054891996
120,132,85054891996
131,132,85054891996
127,118,85042430386
127,120,85042430386
127,133,85042430386
127,131,85042430386
118,120,85042430386
118,133,85042430386
118,131,85042430386
120,133,85042430386
120,131,85042430386
133,131,85042430386
118,127,85031433055
118,120,85031433055
118,131,85031433055
127,120,85031433055
127,131,85031433055
120,131,85031433055
134,135,85166429934
134,136,85166429934
134,137,85166429934
134,138,85166429934
134,139,85166429934
134,140,85166429934
134,141,85166429934
135,136,85166429934
135,137,85166429934
135,138,85166429934
135,139,85166429934
135,140,85166429934
135,141,85166429934
136,137,85166429934
136,138,85166429934
136,139,85166429934
136,140,85166429934
136,141,85166429934
137,138,85166429934
137,139,85166429934
137,140,85166429934
137,141,85166429934
138,139,85166429934
138,140,85166429934
138,141,85166429934
139,140,85166429934
139,141,85166429934
140,141,85166429934
142,143,85166328931
142,144,85166328931
142,139,85166328931
142,145,85166328931
142,146,85166328931
142,147,85166328931
143,144,85166328931
143,139,85166328931
143,145,85166328931
143,146,85166328931
143,147,85166328931
144,139,85166328931
144,145,85166328931
144,146,85166328931
144,147,85166328931
139,145,85166328931
139,146,85166328931
139,147,85166328931
145,146,85166328931
145,147,85166328931
146,147,85166328931
148,149,85115079233
148,150,85115079233
148,139,85115079233
148,151,85115079233
149,150,85115079233
149,139,85115079233
149,151,85115079233
150,139,85115079233
150,151,85115079233
139,151,85115079233
152,139,85121269568
152,153,85121269568
152,154,85121269568
152,155,85121269568
139,153,85121269568
139,154,85121269568
139,155,85121269568
153,154,85121269568
153,155,85121269568
154,155,85121269568
150,156,85111031807
150,148,85111031807
150,139,85111031807
150,157,85111031807
150,151,85111031807
156,148,85111031807
156,139,85111031807
156,157,85111031807
156,151,85111031807
148,139,85111031807
148,157,85111031807
148,151,85111031807
139,157,85111031807
139,151,85111031807
157,151,85111031807
158,159,85107702076
158,139,85107702076
159,139,85107702076
160,161,85097049656
160,162,85097049656
160,163,85097049656
160,164,85097049656
160,165,85097049656
160,166,85097049656
160,167,85097049656
160,168,85097049656
160,139,85097049656
160,169,85097049656
161,162,85097049656
161,163,85097049656
161,164,85097049656
161,165,85097049656
161,166,85097049656
161,167,85097049656
161,168,85097049656
161,139,85097049656
161,169,85097049656
162,163,85097049656
162,164,85097049656
162,165,85097049656
162,166,85097049656
162,167,85097049656
162,168,85097049656
162,139,85097049656
162,169,85097049656
163,164,85097049656
163,165,85097049656
163,166,85097049656
163,167,85097049656
163,168,85097049656
163,139,85097049656
163,169,85097049656
164,165,85097049656
164,166,85097049656
164,167,85097049656
164,168,85097049656
164,139,85097049656
164,169,85097049656
165,166,85097049656
165,167,85097049656
165,168,85097049656
165,139,85097049656
165,169,85097049656
166,167,85097049656
166,168,85097049656
166,139,85097049656
166,169,85097049656
167,168,85097049656
167,139,85097049656
167,169,85097049656
168,139,85097049656
168,169,85097049656
